,transaction_id,date,account_id,account_type,category,vendor,amount,type,status,balance_after_transaction,total_spent,transaction_count,initial_balance,ending_balance,credit_limit,total_spent_total,transaction_count_total,total_spent_total,transaction_count_total
30,31,2022-01-31,1,Checking,Utilities,Comcast,273.84,debit,completed,3433.790000000001,,,5000,,,8867.09,61.0,13999.15,95
31,32,2022-02-01,1,Checking,Healthcare,CVS,264.6,debit,completed,3169.190000000001,,,5000,,,13175.28,80.0,16608.36,106
32,33,2022-02-02,1,Checking,Shopping,Target,65.71,credit,completed,3234.900000000001,,,5000,,,9529.24,63.0,15401.48,101
33,34,2022-02-03,1,Checking,Healthcare,CVS,211.49,credit,completed,3446.3900000000012,,,5000,,,13175.28,80.0,16608.36,106
34,35,2022-02-04,1,Checking,Healthcare,CVS,214.78,debit,completed,3231.610000000001,,,5000,,,13175.28,80.0,16608.36,106
35,36,2022-02-05,1,Checking,Shopping,Target,227.36,debit,completed,3004.250000000001,,,5000,,,9529.24,63.0,15401.48,101
36,37,2022-02-06,1,Checking,Healthcare,CVS,259.31,credit,completed,3263.560000000001,,,5000,,,13175.28,80.0,16608.36,106
37,38,2022-02-07,1,Checking,Shopping,Best Buy,72.88,debit,completed,3190.6800000000007,,,5000,,,9529.24,63.0,15401.48,101
38,39,2022-02-08,1,Checking,Shopping,Best Buy,291.32,debit,pending,2899.3600000000006,,,5000,,,9529.24,63.0,15401.48,101
39,40,2022-02-09,1,Checking,Rent,Rent Payment,16.31,credit,completed,2915.6700000000005,,,5000,,,10299.59,68.0,17219.66,110
40,41,2022-02-10,1,Checking,Healthcare,CVS,257.8,credit,completed,3173.4700000000007,,,5000,,,13175.28,80.0,16608.36,106
41,42,2022-02-11,1,Checking,Entertainment,Netflix,268.24,debit,completed,2905.2300000000005,,,5000,,,10627.59,70.0,16169.18,108
42,43,2022-02-12,1,Checking,Entertainment,Spotify,261.42,debit,completed,2643.8100000000004,,,5000,,,10627.59,70.0,16169.18,108
43,44,2022-02-13,1,Checking,Groceries,Whole Foods,132.96,debit,completed,2510.8500000000004,,,5000,,,8829.12,62.0,14691.57,101
44,45,2022-02-14,1,Checking,Shopping,Target,141.19,debit,completed,2369.6600000000003,,,5000,,,9529.24,63.0,15401.48,101
45,46,2022-02-15,1,Checking,Utilities,Con Edison,219.07,debit,completed,2150.59,,,5000,,,8867.09,61.0,13999.15,95
46,47,2022-02-16,1,Checking,Utilities,Comcast,225.64,credit,completed,2376.23,,,5000,,,8867.09,61.0,13999.15,95
47,48,2022-02-17,1,Checking,Groceries,Trader Joe's,248.48,credit,completed,2624.71,,,5000,,,8829.12,62.0,14691.57,101
48,49,2022-02-18,1,Checking,Rent,Rent Payment,8.09,credit,completed,2632.8,,,5000,,,10299.59,68.0,17219.66,110
49,50,2022-02-19,1,Checking,Entertainment,Spotify,238.34,debit,completed,2394.46,,,5000,,,10627.59,70.0,16169.18,108
50,51,2022-02-20,1,Checking,Groceries,Whole Foods,67.2,debit,completed,2327.26,,,5000,,,8829.12,62.0,14691.57,101
51,52,2022-02-21,1,Checking,Utilities,Con Edison,10.88,debit,completed,2316.38,,,5000,,,8867.09,61.0,13999.15,95
52,53,2022-02-22,1,Checking,Utilities,Con Edison,124.28,credit,completed,2440.6600000000003,,,5000,,,8867.09,61.0,13999.15,95
53,54,2022-02-23,1,Checking,Dining,Chipotle,207.49,debit,completed,2233.17,,,5000,,,13425.619999999999,79.0,19737.97,120
54,55,2022-02-24,1,Checking,Groceries,Whole Foods,65.4,credit,completed,2298.57,,,5000,,,8829.12,62.0,14691.57,101
55,56,2022-02-25,1,Checking,Rent,Rent Payment,264.37,credit,completed,2562.94,,,5000,,,10299.59,68.0,17219.66,110
56,57,2022-02-26,1,Checking,Shopping,Best Buy,33.04,debit,pending,2529.9,,,5000,,,9529.24,63.0,15401.48,101
57,58,2022-02-27,1,Checking,Utilities,Con Edison,31.24,credit,pending,2561.14,,,5000,,,8867.09,61.0,13999.15,95
58,59,2022-02-28,1,Checking,Utilities,Con Edison,272.23,debit,completed,2288.91,,,5000,,,8867.09,61.0,13999.15,95
59,60,2022-03-01,1,Checking,Healthcare,Walgreens,202.15,credit,completed,2491.06,,,5000,,,13175.28,80.0,16608.36,106
60,61,2022-03-02,1,Checking,Utilities,Comcast,110.47,credit,pending,2601.5299999999997,,,5000,,,8867.09,61.0,13999.15,95
61,62,2022-03-03,1,Checking,Groceries,Whole Foods,19.05,credit,completed,2620.58,,,5000,,,8829.12,62.0,14691.57,101
62,63,2022-03-04,1,Checking,Utilities,Con Edison,197.56,debit,completed,2423.02,,,5000,,,8867.09,61.0,13999.15,95
63,64,2022-03-05,1,Checking,Entertainment,Netflix,183.44,credit,completed,2606.46,,,5000,,,10627.59,70.0,16169.18,108
64,65,2022-03-06,1,Checking,Rent,Rent Payment,230.76,debit,completed,2375.7,,,5000,,,10299.59,68.0,17219.66,110
65,66,2022-03-07,1,Checking,Rent,Rent Payment,200.56,credit,completed,2576.2599999999998,,,5000,,,10299.59,68.0,17219.66,110
66,67,2022-03-08,1,Checking,Healthcare,CVS,149.18,credit,completed,2725.4399999999996,,,5000,,,13175.28,80.0,16608.36,106
67,68,2022-03-09,1,Checking,Entertainment,Movie Theater,248.86,debit,completed,2476.5799999999995,,,5000,,,10627.59,70.0,16169.18,108
68,69,2022-03-10,1,Checking,Entertainment,Movie Theater,250.6,credit,completed,2727.1799999999994,,,5000,,,10627.59,70.0,16169.18,108
69,70,2022-03-11,1,Checking,Utilities,Con Edison,247.55,credit,completed,2974.7299999999996,,,5000,,,8867.09,61.0,13999.15,95
70,71,2022-03-12,1,Checking,Rent,Rent Payment,138.04,debit,completed,2836.6899999999996,,,5000,,,10299.59,68.0,17219.66,110
71,72,2022-03-13,1,Checking,Shopping,Amazon,123.46,credit,completed,2960.1499999999996,,,5000,,,9529.24,63.0,15401.48,101
72,73,2022-03-14,1,Checking,Healthcare,Walgreens,213.12,debit,completed,2747.0299999999997,,,5000,,,13175.28,80.0,16608.36,106
73,74,2022-03-15,1,Checking,Rent,Rent Payment,295.98,debit,completed,2451.0499999999997,,,5000,,,10299.59,68.0,17219.66,110
74,75,2022-03-16,1,Checking,Groceries,Whole Foods,116.65,credit,completed,2567.7,,,5000,,,8829.12,62.0,14691.57,101
75,76,2022-03-17,1,Checking,Healthcare,CVS,162.57,debit,completed,2405.1299999999997,,,5000,,,13175.28,80.0,16608.36,106
76,77,2022-03-18,1,Checking,Shopping,Target,55.35,credit,completed,2460.4799999999996,,,5000,,,9529.24,63.0,15401.48,101
77,78,2022-03-19,1,Checking,Shopping,Best Buy,175.45,credit,completed,2635.9299999999994,,,5000,,,9529.24,63.0,15401.48,101
78,79,2022-03-20,1,Checking,Entertainment,Spotify,202.29,credit,completed,2838.2199999999993,,,5000,,,10627.59,70.0,16169.18,108
79,80,2022-03-21,1,Checking,Shopping,Amazon,172.84,credit,completed,3011.0599999999995,,,5000,,,9529.24,63.0,15401.48,101
80,81,2022-03-22,1,Checking,Shopping,Best Buy,63.77,debit,completed,2947.2899999999995,,,5000,,,9529.24,63.0,15401.48,101
81,82,2022-03-23,1,Checking,Utilities,Con Edison,70.72,debit,completed,2876.5699999999997,,,5000,,,8867.09,61.0,13999.15,95
82,83,2022-03-24,1,Checking,Shopping,Amazon,286.11,debit,completed,2590.4599999999996,,,5000,,,9529.24,63.0,15401.48,101
83,84,2022-03-25,1,Checking,Shopping,Target,53.24,debit,completed,2537.22,,,5000,,,9529.24,63.0,15401.48,101
84,85,2022-03-26,1,Checking,Groceries,Walmart,18.43,debit,completed,2518.79,,,5000,,,8829.12,62.0,14691.57,101
85,86,2022-03-27,1,Checking,Entertainment,Movie Theater,162.41,credit,completed,2681.2,,,5000,,,10627.59,70.0,16169.18,108
86,87,2022-03-28,1,Checking,Utilities,Comcast,65.73,debit,completed,2615.47,,,5000,,,8867.09,61.0,13999.15,95
87,88,2022-03-29,1,Checking,Groceries,Walmart,174.37,credit,completed,2789.8399999999997,,,5000,,,8829.12,62.0,14691.57,101
88,89,2022-03-30,1,Checking,Dining,McDonald's,246.66,debit,completed,2543.18,,,5000,,,13425.619999999999,79.0,19737.97,120
89,90,2022-03-31,1,Checking,Groceries,Walmart,248.69,credit,completed,2791.87,,,5000,,,8829.12,62.0,14691.57,101
90,91,2022-04-01,1,Checking,Dining,Starbucks,195.0,credit,completed,2986.87,,,5000,,,13425.619999999999,79.0,19737.97,120
91,92,2022-04-02,1,Checking,Shopping,Amazon,164.55,debit,completed,2822.3199999999997,,,5000,,,9529.24,63.0,15401.48,101
92,93,2022-04-03,1,Checking,Shopping,Best Buy,278.47,debit,completed,2543.8499999999995,,,5000,,,9529.24,63.0,15401.48,101
93,94,2022-04-04,1,Checking,Shopping,Best Buy,188.6,debit,completed,2355.2499999999995,,,5000,,,9529.24,63.0,15401.48,101
94,95,2022-04-05,1,Checking,Entertainment,Movie Theater,139.93,debit,completed,2215.3199999999997,,,5000,,,10627.59,70.0,16169.18,108
95,96,2022-04-06,1,Checking,Entertainment,Movie Theater,118.4,credit,completed,2333.72,,,5000,,,10627.59,70.0,16169.18,108
96,97,2022-04-07,1,Checking,Shopping,Amazon,194.8,debit,completed,2138.9199999999996,,,5000,,,9529.24,63.0,15401.48,101
97,98,2022-04-08,1,Checking,Healthcare,CVS,258.87,debit,completed,1880.0499999999997,,,5000,,,13175.28,80.0,16608.36,106
98,99,2022-04-09,1,Checking,Healthcare,Walgreens,37.7,credit,completed,1917.7499999999998,,,5000,,,13175.28,80.0,16608.36,106
99,100,2022-04-10,1,Checking,Dining,Chipotle,60.2,credit,completed,1977.9499999999998,,,5000,,,13425.619999999999,79.0,19737.97,120
100,101,2022-04-11,1,Checking,Shopping,Amazon,114.03,debit,completed,1863.9199999999998,,,5000,,,9529.24,63.0,15401.48,101
101,102,2022-04-12,1,Checking,Groceries,Whole Foods,133.93,debit,completed,1729.9899999999998,,,5000,,,8829.12,62.0,14691.57,101
102,103,2022-04-13,1,Checking,Rent,Rent Payment,209.94,debit,pending,1520.0499999999997,,,5000,,,10299.59,68.0,17219.66,110
103,104,2022-04-14,1,Checking,Utilities,Comcast,253.0,debit,completed,1267.0499999999997,,,5000,,,8867.09,61.0,13999.15,95
104,105,2022-04-15,1,Checking,Utilities,Comcast,161.56,credit,completed,1428.6099999999997,,,5000,,,8867.09,61.0,13999.15,95
105,106,2022-04-16,1,Checking,Dining,Chipotle,266.19,debit,pending,1162.4199999999996,,,5000,,,13425.619999999999,79.0,19737.97,120
106,107,2022-04-17,1,Checking,Healthcare,Walgreens,253.28,credit,completed,1415.6999999999996,,,5000,,,13175.28,80.0,16608.36,106
107,108,2022-04-18,1,Checking,Utilities,Con Edison,83.67,debit,completed,1332.0299999999995,,,5000,,,8867.09,61.0,13999.15,95
108,109,2022-04-19,1,Checking,Utilities,Comcast,36.56,debit,completed,1295.4699999999996,,,5000,,,8867.09,61.0,13999.15,95
109,110,2022-04-20,1,Checking,Utilities,Con Edison,167.49,credit,completed,1462.9599999999996,,,5000,,,8867.09,61.0,13999.15,95
110,111,2022-04-21,1,Checking,Groceries,Whole Foods,276.25,debit,completed,1186.7099999999996,,,5000,,,8829.12,62.0,14691.57,101
111,112,2022-04-22,1,Checking,Dining,McDonald's,99.19,debit,completed,1087.5199999999995,,,5000,,,13425.619999999999,79.0,19737.97,120
112,113,2022-04-23,1,Checking,Dining,Chipotle,11.93,debit,completed,1075.5899999999995,,,5000,,,13425.619999999999,79.0,19737.97,120
113,114,2022-04-24,1,Checking,Shopping,Target,196.62,debit,completed,878.9699999999995,,,5000,,,9529.24,63.0,15401.48,101
114,115,2022-04-25,1,Checking,Utilities,Comcast,74.01,credit,completed,952.9799999999994,,,5000,,,8867.09,61.0,13999.15,95
115,116,2022-04-26,1,Checking,Dining,McDonald's,239.08,debit,completed,713.8999999999994,,,5000,,,13425.619999999999,79.0,19737.97,120
116,117,2022-04-27,1,Checking,Dining,McDonald's,199.89,debit,completed,514.0099999999994,,,5000,,,13425.619999999999,79.0,19737.97,120
117,118,2022-04-28,1,Checking,Entertainment,Netflix,182.9,debit,completed,331.10999999999945,,,5000,,,10627.59,70.0,16169.18,108
118,119,2022-04-29,1,Checking,Entertainment,Netflix,160.37,debit,pending,170.73999999999944,,,5000,,,10627.59,70.0,16169.18,108
119,120,2022-04-30,1,Checking,Rent,Rent Payment,215.58,debit,completed,-44.84000000000057,,,5000,,,10299.59,68.0,17219.66,110
120,121,2022-05-01,1,Checking,Rent,Rent Payment,239.42,credit,completed,194.57999999999942,,,5000,,,10299.59,68.0,17219.66,110
121,122,2022-05-02,1,Checking,Dining,McDonald's,15.25,debit,completed,179.32999999999942,,,5000,,,13425.619999999999,79.0,19737.97,120
122,123,2022-05-03,1,Checking,Rent,Rent Payment,47.17,credit,completed,226.49999999999943,,,5000,,,10299.59,68.0,17219.66,110
123,124,2022-05-04,1,Checking,Groceries,Whole Foods,189.46,debit,completed,37.039999999999424,,,5000,,,8829.12,62.0,14691.57,101
124,125,2022-05-05,1,Checking,Rent,Rent Payment,30.9,debit,completed,6.139999999999425,,,5000,,,10299.59,68.0,17219.66,110
125,126,2022-05-06,1,Checking,Dining,Starbucks,60.79,debit,completed,-54.650000000000574,,,5000,,,13425.619999999999,79.0,19737.97,120
126,127,2022-05-07,1,Checking,Dining,Chipotle,233.93,debit,completed,-288.5800000000006,,,5000,,,13425.619999999999,79.0,19737.97,120
127,128,2022-05-08,1,Checking,Groceries,Trader Joe's,246.13,debit,completed,-534.7100000000006,,,5000,,,8829.12,62.0,14691.57,101
128,129,2022-05-09,1,Checking,Healthcare,Walgreens,201.66,credit,completed,-333.05000000000064,,,5000,,,13175.28,80.0,16608.36,106
129,130,2022-05-10,1,Checking,Groceries,Trader Joe's,109.07,credit,completed,-223.98000000000064,,,5000,,,8829.12,62.0,14691.57,101
130,131,2022-05-11,1,Checking,Dining,Starbucks,289.78,debit,completed,-513.7600000000007,,,5000,,,13425.619999999999,79.0,19737.97,120
131,132,2022-05-12,1,Checking,Utilities,Comcast,8.93,credit,completed,-504.83000000000067,,,5000,,,8867.09,61.0,13999.15,95
132,133,2022-05-13,1,Checking,Dining,Chipotle,196.12,debit,completed,-700.9500000000007,,,5000,,,13425.619999999999,79.0,19737.97,120
133,134,2022-05-14,1,Checking,Dining,McDonald's,253.98,debit,completed,-954.9300000000007,,,5000,,,13425.619999999999,79.0,19737.97,120
134,135,2022-05-15,1,Checking,Rent,Rent Payment,233.06,debit,completed,-1187.9900000000007,,,5000,,,10299.59,68.0,17219.66,110
135,136,2022-05-16,1,Checking,Rent,Rent Payment,245.07,credit,completed,-942.9200000000008,,,5000,,,10299.59,68.0,17219.66,110
136,137,2022-05-17,1,Checking,Entertainment,Netflix,108.92,debit,completed,-1051.8400000000008,,,5000,,,10627.59,70.0,16169.18,108
137,138,2022-05-18,1,Checking,Shopping,Best Buy,171.17,credit,completed,-880.6700000000009,,,5000,,,9529.24,63.0,15401.48,101
138,139,2022-05-19,1,Checking,Shopping,Best Buy,192.3,credit,completed,-688.3700000000008,,,5000,,,9529.24,63.0,15401.48,101
139,140,2022-05-20,1,Checking,Rent,Rent Payment,269.32,credit,completed,-419.0500000000008,,,5000,,,10299.59,68.0,17219.66,110
140,141,2022-05-21,1,Checking,Shopping,Amazon,209.51,debit,completed,-628.5600000000009,,,5000,,,9529.24,63.0,15401.48,101
141,142,2022-05-22,1,Checking,Dining,Chipotle,199.84,debit,completed,-828.4000000000009,,,5000,,,13425.619999999999,79.0,19737.97,120
142,143,2022-05-23,1,Checking,Entertainment,Spotify,243.23,debit,completed,-1071.6300000000008,,,5000,,,10627.59,70.0,16169.18,108
143,144,2022-05-24,1,Checking,Entertainment,Movie Theater,203.0,debit,completed,-1274.6300000000008,,,5000,,,10627.59,70.0,16169.18,108
144,145,2022-05-25,1,Checking,Utilities,Con Edison,241.47,debit,completed,-1516.1000000000008,,,5000,,,8867.09,61.0,13999.15,95
145,146,2022-05-26,1,Checking,Healthcare,CVS,202.19,debit,pending,-1718.2900000000009,,,5000,,,13175.28,80.0,16608.36,106
146,147,2022-05-27,1,Checking,Entertainment,Spotify,230.37,credit,completed,-1487.920000000001,,,5000,,,10627.59,70.0,16169.18,108
147,148,2022-05-28,1,Checking,Dining,Starbucks,293.36,credit,completed,-1194.5600000000009,,,5000,,,13425.619999999999,79.0,19737.97,120
148,149,2022-05-29,1,Checking,Dining,McDonald's,210.28,debit,pending,-1404.8400000000008,,,5000,,,13425.619999999999,79.0,19737.97,120
149,150,2022-05-30,1,Checking,Shopping,Amazon,13.28,debit,pending,-1418.1200000000008,,,5000,,,9529.24,63.0,15401.48,101
150,151,2022-05-31,1,Checking,Rent,Rent Payment,70.57,credit,completed,-1347.5500000000009,,,5000,,,10299.59,68.0,17219.66,110
151,152,2022-06-01,1,Checking,Healthcare,Walgreens,247.86,credit,completed,-1099.690000000001,,,5000,,,13175.28,80.0,16608.36,106
152,153,2022-06-02,1,Checking,Dining,McDonald's,189.37,debit,completed,-1289.0600000000009,,,5000,,,13425.619999999999,79.0,19737.97,120
153,154,2022-06-03,1,Checking,Healthcare,Walgreens,244.15,debit,completed,-1533.210000000001,,,5000,,,13175.28,80.0,16608.36,106
154,155,2022-06-04,1,Checking,Healthcare,CVS,276.61,debit,completed,-1809.820000000001,,,5000,,,13175.28,80.0,16608.36,106
155,156,2022-06-05,1,Checking,Entertainment,Spotify,144.89,debit,completed,-1954.710000000001,,,5000,,,10627.59,70.0,16169.18,108
156,157,2022-06-06,1,Checking,Utilities,Con Edison,9.12,debit,completed,-1963.8300000000008,,,5000,,,8867.09,61.0,13999.15,95
157,158,2022-06-07,1,Checking,Entertainment,Movie Theater,144.86,debit,completed,-2108.690000000001,,,5000,,,10627.59,70.0,16169.18,108
158,159,2022-06-08,1,Checking,Shopping,Amazon,110.54,debit,completed,-2219.230000000001,,,5000,,,9529.24,63.0,15401.48,101
159,160,2022-06-09,1,Checking,Utilities,Con Edison,115.14,credit,pending,-2104.090000000001,,,5000,,,8867.09,61.0,13999.15,95
160,161,2022-06-10,1,Checking,Healthcare,CVS,234.5,credit,completed,-1869.590000000001,,,5000,,,13175.28,80.0,16608.36,106
161,162,2022-06-11,1,Checking,Groceries,Walmart,206.65,debit,completed,-2076.240000000001,,,5000,,,8829.12,62.0,14691.57,101
162,163,2022-06-12,1,Checking,Healthcare,CVS,170.84,debit,completed,-2247.0800000000013,,,5000,,,13175.28,80.0,16608.36,106
163,164,2022-06-13,1,Checking,Utilities,Con Edison,24.01,credit,completed,-2223.070000000001,,,5000,,,8867.09,61.0,13999.15,95
164,165,2022-06-14,1,Checking,Rent,Rent Payment,91.86,debit,completed,-2314.930000000001,,,5000,,,10299.59,68.0,17219.66,110
165,166,2022-06-15,1,Checking,Rent,Rent Payment,217.12,debit,completed,-2532.050000000001,,,5000,,,10299.59,68.0,17219.66,110
166,167,2022-06-16,1,Checking,Healthcare,CVS,152.31,debit,completed,-2684.360000000001,,,5000,,,13175.28,80.0,16608.36,106
167,168,2022-06-17,1,Checking,Shopping,Best Buy,170.91,debit,pending,-2855.270000000001,,,5000,,,9529.24,63.0,15401.48,101
168,169,2022-06-18,1,Checking,Groceries,Whole Foods,14.37,debit,completed,-2869.640000000001,,,5000,,,8829.12,62.0,14691.57,101
169,170,2022-06-19,1,Checking,Shopping,Best Buy,100.15,credit,completed,-2769.4900000000007,,,5000,,,9529.24,63.0,15401.48,101
170,171,2022-06-20,1,Checking,Healthcare,CVS,48.93,credit,pending,-2720.560000000001,,,5000,,,13175.28,80.0,16608.36,106
171,172,2022-06-21,1,Checking,Dining,Starbucks,231.62,debit,completed,-2952.1800000000007,,,5000,,,13425.619999999999,79.0,19737.97,120
172,173,2022-06-22,1,Checking,Entertainment,Spotify,131.04,credit,completed,-2821.140000000001,,,5000,,,10627.59,70.0,16169.18,108
173,174,2022-06-23,1,Checking,Dining,Starbucks,82.19,credit,completed,-2738.9500000000007,,,5000,,,13425.619999999999,79.0,19737.97,120
174,175,2022-06-24,1,Checking,Rent,Rent Payment,282.39,debit,completed,-3021.3400000000006,,,5000,,,10299.59,68.0,17219.66,110
175,176,2022-06-25,1,Checking,Shopping,Target,273.86,debit,completed,-3295.2000000000007,,,5000,,,9529.24,63.0,15401.48,101
176,177,2022-06-26,1,Checking,Rent,Rent Payment,66.68,debit,completed,-3361.8800000000006,,,5000,,,10299.59,68.0,17219.66,110
177,178,2022-06-27,1,Checking,Entertainment,Spotify,78.9,debit,completed,-3440.7800000000007,,,5000,,,10627.59,70.0,16169.18,108
178,179,2022-06-28,1,Checking,Dining,Starbucks,295.76,credit,pending,-3145.0200000000004,,,5000,,,13425.619999999999,79.0,19737.97,120
179,180,2022-06-29,1,Checking,Dining,Chipotle,63.95,debit,completed,-3208.9700000000003,,,5000,,,13425.619999999999,79.0,19737.97,120
180,181,2022-06-30,1,Checking,Shopping,Amazon,162.8,credit,completed,-3046.17,,,5000,,,9529.24,63.0,15401.48,101
181,182,2022-07-01,1,Checking,Dining,McDonald's,7.32,credit,completed,-3038.85,,,5000,,,13425.619999999999,79.0,19737.97,120
182,183,2022-07-02,1,Checking,Entertainment,Spotify,270.14,debit,completed,-3308.99,,,5000,,,10627.59,70.0,16169.18,108
183,184,2022-07-03,1,Checking,Rent,Rent Payment,174.68,debit,completed,-3483.6699999999996,,,5000,,,10299.59,68.0,17219.66,110
184,185,2022-07-04,1,Checking,Entertainment,Netflix,103.24,credit,completed,-3380.43,,,5000,,,10627.59,70.0,16169.18,108
185,186,2022-07-05,1,Checking,Groceries,Trader Joe's,72.72,debit,completed,-3453.1499999999996,,,5000,,,8829.12,62.0,14691.57,101
186,187,2022-07-06,1,Checking,Dining,Chipotle,156.47,credit,completed,-3296.68,,,5000,,,13425.619999999999,79.0,19737.97,120
187,188,2022-07-07,1,Checking,Groceries,Whole Foods,96.08,credit,completed,-3200.6,,,5000,,,8829.12,62.0,14691.57,101
188,189,2022-07-08,1,Checking,Rent,Rent Payment,165.77,credit,completed,-3034.83,,,5000,,,10299.59,68.0,17219.66,110
189,190,2022-07-09,1,Checking,Healthcare,Walgreens,24.9,credit,completed,-3009.93,,,5000,,,13175.28,80.0,16608.36,106
190,191,2022-07-10,1,Checking,Utilities,Con Edison,233.74,credit,completed,-2776.1899999999996,,,5000,,,8867.09,61.0,13999.15,95
191,192,2022-07-11,1,Checking,Utilities,Comcast,64.73,credit,pending,-2711.4599999999996,,,5000,,,8867.09,61.0,13999.15,95
192,193,2022-07-12,1,Checking,Shopping,Target,48.11,debit,completed,-2759.5699999999997,,,5000,,,9529.24,63.0,15401.48,101
193,194,2022-07-13,1,Checking,Dining,McDonald's,193.5,debit,completed,-2953.0699999999997,,,5000,,,13425.619999999999,79.0,19737.97,120
194,195,2022-07-14,1,Checking,Rent,Rent Payment,63.09,credit,completed,-2889.9799999999996,,,5000,,,10299.59,68.0,17219.66,110
195,196,2022-07-15,1,Checking,Dining,Starbucks,258.98,debit,completed,-3148.9599999999996,,,5000,,,13425.619999999999,79.0,19737.97,120
196,197,2022-07-16,1,Checking,Healthcare,CVS,167.25,debit,completed,-3316.2099999999996,,,5000,,,13175.28,80.0,16608.36,106
197,198,2022-07-17,1,Checking,Healthcare,CVS,277.42,debit,completed,-3593.6299999999997,,,5000,,,13175.28,80.0,16608.36,106
198,199,2022-07-18,1,Checking,Shopping,Amazon,169.29,credit,completed,-3424.3399999999997,,,5000,,,9529.24,63.0,15401.48,101
